Id,Name,Request Status,NG_Request__c,(SFWONUM) NG_Work_Order_Number__c ,(WORKORDERID) NG_Maximo_WO_Id__c,(WONUM) NG_Maximo_WO_Number__c,NewJSONwonum,NewJOSNwokorderid
a0H1V00000blcI3UAI,WS-02189300,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""721296258"",""ng_originaljob"":""721296258"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00151800"",""lead"":""70046603"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00151800"",""workorderid"":""345698"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CvRrWAK"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-23T08:03:37.000Z"",""ng_sfstatusseqnum"":2}]}",151800,345698,343877,5550901,5550101
a0H1V00000blcI4UAI,WS-02189301,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""325108734"",""ng_originaljob"":""325108734"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00149540"",""lead"":""null"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00149540"",""workorderid"":""343969"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CstiWAC"",""ng_sfordertype"":""Turn Off - Meter"",""ng_statusdate"":""2019-07-23T10:36:05.000Z"",""ng_sfstatusseqnum"":2}]}",149540,343969,342148,5550902,5550102
a0H1V00000blcI5UAI,WS-02189302,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""37139290"",""ng_originaljob"":""37139290"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00150401"",""lead"":""70018869"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00150401"",""workorderid"":""344580"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CtyUWAS"",""ng_sfordertype"":""Install - Meter"",""ng_statusdate"":""2019-07-24T06:43:13.000Z"",""ng_sfstatusseqnum"":2}]}",150401,344580,342759,5550903,5550103
a0H1V00000blcI6UAI,WS-02189303,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""728280432"",""ng_originaljob"":""728280432"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00145655"",""lead"":""70018869"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00145655"",""workorderid"":""346144"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CqK7WAK"",""ng_sfordertype"":""Turn Off - Meter"",""ng_statusdate"":""2019-07-24T06:49:00.000Z"",""ng_sfstatusseqnum"":4}]}",145655,346144,344323,5550904,5550104
a0H1V00000blcZ3UAI,WS-02189304,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""728280432"",""ng_originaljob"":""728280432"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00145655"",""lead"":""70018869"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00145655"",""workorderid"":""346144"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CqK7WAK"",""ng_sfordertype"":""Turn Off - Meter"",""ng_statusdate"":""2019-07-24T06:49:00.000Z"",""ng_sfstatusseqnum"":5}]}",145655,346144,344323,5550905,5550105
a0H1V00000blcZ4UAI,WS-02189305,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""266244443"",""ng_originaljob"":""266244443"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00153649"",""lead"":""70711875"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00153649"",""workorderid"":""346864"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CxX3WAK"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":2}]}",153649,346864,345026,5550906,5550106
a0H1V00000blcZ5UAI,WS-02189306,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""986471900"",""ng_originaljob"":""986471900"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00152397"",""lead"":""70711875"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00152397"",""workorderid"":""348799"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000Cw5SWAS"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:49:51.000Z"",""ng_sfstatusseqnum"":4}]}",152397,348799,346472,5550907,5550107
a0H1V00000blcZ6UAI,WS-02189307,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""208830825"",""ng_originaljob"":""208830825"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00152342"",""lead"":""70046872"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00152342"",""workorderid"":""348752"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000Cw1aWAC"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":3}]}",152342,348752,346425,5550908,5550108
a0H1V00000blcZ7UAI,WS-02189308,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""185833631"",""ng_originaljob"":""185833631"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00153792"",""lead"":""70046872"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00153792"",""workorderid"":""346923"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CxhXWAS"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":2}]}",153792,346923,345085,5550909,5550109
a0H1V00000blcZ8UAI,WS-02189309,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""185833631"",""ng_originaljob"":""185833631"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00153792"",""lead"":""70046872"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00153792"",""workorderid"":""346923"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CxhXWAS"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":3}]}",153792,346923,345085,5550910,5550110
a0H1V00000blcZ9UAI,WS-02189310,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""535178952"",""ng_originaljob"":""535178952"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00149884"",""lead"":""70046872"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00149884"",""workorderid"":""344213"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CtJ2WAK"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":2}]}",149884,344213,342392,5550911,5550111
a0H1V00000blcZAUAY,WS-02189311,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""206900068"",""ng_originaljob"":""206900068"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00153168"",""lead"":""70046872"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00153168"",""workorderid"":""346667"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CwyNWAS"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":2}]}",153168,346667,344834,5550912,5550112
a0H1V00000blcZBUAY,WS-02189312,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""206900068"",""ng_originaljob"":""206900068"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00153168"",""lead"":""70046872"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00153168"",""workorderid"":""346667"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CwyNWAS"",""ng_sfordertype"":""Turn On - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":3}]}",153168,346667,344834,5550913,5550113
a0H1V00000blcZCUAY,WS-02189313,Dispatched,"{""member"":[{""woserviceaddress"":{""ng_cssrirefid"":""893469615"",""ng_originaljob"":""893469615"",""ng_companycode"":""Massachusetts Electric Company""},""worktype"":""NG_CMS_E"",""wonum"":""00153141"",""lead"":""70711875"",""ng_sfcommodity"":""Electric"",""sfwonum"":""00153141"",""workorderid"":""346655"",""ng_fieldresp"":"""",""status"":""Dispatched"",""wosfdcid"":""0WO1V000000CwwRWAS"",""ng_sfordertype"":""Turn Off - Meter"",""ng_statusdate"":""2019-07-24T07:44:29.000Z"",""ng_sfstatusseqnum"":2}]}",153141,346655,344822,5550914,5550114
